Subúrbio,Endereço,Salas,Tipo,Distância,Código Postal,Quartos,Banheiros,Garagem,Tamanho do Terreno,Área Construída,Ano de Construção,Latitude,Longitude,Quantidade de Imóveis na Região,Preço,Preço Previsto LightGBM,Erro Percentual
Abbotsford,411/8 Grosvenor St,2,Apartamento,2.5,3067.0,2.0,2.0,1.0,0.0,,,-37.811,145.0067,4019.0,"$700,000.00","$593,635.61",15.19%
Abbotsford,40 Nicholson St,3,Casa,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,4019.0,"$1,350,000.00","$1,556,916.09",15.33%
Abbotsford,123/56 Nicholson St,2,Apartamento,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,-37.8078,144.9965,4019.0,"$750,000.00","$708,680.65",5.51%
Abbotsford,22 Park St,4,Casa,2.5,3067.0,,,,,,,-37.8084,144.9942,4019.0,"$1,985,000.00","$1,811,980.16",8.72%
Abbotsford,13/84 Trenerry Cr,1,Apartamento,2.5,3067.0,,,,,,,,,4019.0,"$500,000.00","$406,779.32",18.64%
Abbotsford,45 William St,2,Casa,2.5,3067.0,2.0,1.0,1.0,195.0,,,-37.8084,144.9973,4019.0,"$1,172,500.00","$1,143,897.05",2.44%
Abbotsford,7/20 Abbotsford St,1,Apartamento,2.5,3067.0,1.0,1.0,1.0,0.0,,,-37.8016,144.9988,4019.0,"$441,000.00","$394,291.88",10.59%
Abbotsford,16 William St,2,Casa,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,4019.0,"$1,310,000.00","$1,236,578.13",5.60%
Abbotsford,42 Henry St,3,Casa,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,4019.0,"$1,200,000.00","$1,297,487.98",8.12%
Abbotsford,250 Langridge St,2,Terreno,2.5,3067.0,,,,,,,,,4019.0,"$847,000.00","$834,047.35",1.53%
Abbotsford,78 Yarra St,3,Casa,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,4019.0,"$1,176,500.00","$1,195,025.53",1.57%
Abbotsford,196 Nicholson St,3,Casa,2.5,3067.0,3.0,1.0,0.0,183.0,,,-37.8022,144.9975,4019.0,"$955,000.00","$1,249,150.89",30.80%
Abbotsford,42 Valiant St,2,Casa,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,4019.0,"$890,000.00","$1,062,272.54",19.36%
Abbotsford,3/72 Charles St,4,Casa,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,4019.0,"$1,330,000.00","$1,726,209.55",29.79%
Abbotsford,13/11 Nicholson St,3,Terreno,2.5,3067.0,3.0,2.0,2.0,0.0,,2010.0,-37.8093,144.9959,4019.0,"$900,000.00","$1,009,009.43",12.11%
Abbotsford,138/56 Nicholson St,3,Apartamento,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,,-37.8078,144.9965,4019.0,"$1,090,000.00","$881,767.98",19.10%
Abbotsford,6/219 Nicholson St,2,Apartamento,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,-37.8015,144.9972,4019.0,"$500,000.00","$616,828.67",23.37%
Abbotsford,52a William St,2,Casa,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,4019.0,"$1,100,000.00","$1,058,228.75",3.80%
Abbotsford,49 Park St,2,Casa,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994,4019.0,"$1,315,000.00","$1,087,073.78",17.33%
Abbotsford,65/80 Trenerry Cr,1,Apartamento,2.5,3067.0,,,,,,,,,4019.0,"$480,000.00","$406,779.32",15.25%
Abbotsford,119/52 Nicholson St,1,Apartamento,2.5,3067.0,,,,,,,,,4019.0,"$423,500.00","$406,779.32",3.95%
Abbotsford,5/20 Abbotsford St,1,Apartamento,2.5,3067.0,1.0,1.0,1.0,0.0,,,-37.8016,144.9988,4019.0,"$426,000.00","$394,291.88",7.44%
Abbotsford,48 Abbotsford St,3,Casa,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,4019.0,"$1,447,500.00","$1,363,848.60",5.78%
Abbotsford,116/56 Nicholson St,1,Apartamento,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,,-37.8078,144.9965,4019.0,"$457,000.00","$397,888.74",12.93%
Abbotsford,159 Park St,2,Casa,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952,4019.0,"$1,135,000.00","$1,191,718.69",5.00%
Abbotsford,49/84 Trenerry Cr,2,Casa,2.5,3067.0,,,,,,,,,4019.0,"$700,000.00","$997,710.86",42.53%
Abbotsford,31 Turner St,4,Casa,2.5,3067.0,4.0,3.0,1.0,0.0,,,-37.7994,144.9965,4019.0,"$1,542,000.00","$1,636,136.47",6.10%
Abbotsford,17/1 Abbot St,3,Terreno,2.5,3067.0,,,,,,,-37.7972,144.9969,4019.0,"$962,000.00","$1,059,674.74",10.15%
Abbotsford,166 Gipps St,3,Casa,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,,-37.805,144.9943,4019.0,"$1,290,000.00","$1,419,011.02",10.00%
Abbotsford,60 Stafford St,3,Casa,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,4019.0,"$1,290,000.00","$1,217,739.45",5.60%
Abbotsford,11/205 Gipps St,1,Apartamento,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,-37.8055,144.9961,4019.0,"$470,000.00","$397,888.74",15.34%
Abbotsford,47 Studley St,2,Casa,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956,4019.0,"$1,180,000.00","$1,098,312.52",6.92%
Abbotsford,45 Yarra St,3,Casa,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954,4019.0,"$1,195,000.00","$1,300,020.01",8.79%
Abbotsford,200 Nicholson St,2,Casa,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976,4019.0,"$1,012,500.00","$1,131,633.94",11.77%
Abbotsford,82/84 Trenerry Cr,2,Apartamento,2.5,3067.0,,,,,,,,,4019.0,"$970,000.00","$620,667.50",36.01%
Abbotsford,27 Charles St,2,Casa,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946,4019.0,"$1,030,000.00","$1,089,055.25",5.73%
Abbotsford,40/80 Trenerry Cr,3,Casa,2.5,3067.0,,,,,,,,,4019.0,"$927,000.00","$1,288,022.13",38.95%
Airport West,154 Halsey Rd,3,Terreno,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878,3464.0,"$840,000.00","$652,256.91",22.35%
Airport West,50 Bedford St,3,Casa,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,3464.0,"$730,000.00","$670,958.10",8.09%
Airport West,50 Bedford St,3,Casa,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,3464.0,"$770,000.00","$696,383.97",9.56%
Airport West,23 Hart St,2,Casa,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888,3464.0,"$603,000.00","$619,064.75",2.66%
Airport West,1/80 Hawker St,3,Terreno,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837,3464.0,"$700,000.00","$678,118.92",3.13%
Airport West,1/37 Hillside Gr,3,Casa,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,3464.0,"$600,000.00","$631,838.20",5.31%
Airport West,2/49 McIntosh St,2,Apartamento,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864,3464.0,"$500,000.00","$430,392.66",13.92%
Airport West,4/9 West Ct,2,Terreno,13.5,3042.0,,,,,,,,,3464.0,"$420,000.00","$457,804.24",9.00%
Airport West,1/36 York St,3,Terreno,13.5,3042.0,,,,,,,,,3464.0,"$500,000.00","$604,555.29",20.91%
Airport West,33 Bowes Av,5,Casa,13.5,3042.0,,,,,,,,,3464.0,"$1,035,000.00","$976,364.22",5.67%
Airport West,89 Bowes Av,4,Casa,13.5,3042.0,,,,,,,,,3464.0,"$960,000.00","$855,940.95",10.84%
Airport West,45 Laurence Av,4,Casa,13.5,3042.0,,,,,,,,,3464.0,"$960,000.00","$855,940.95",10.84%
Airport West,54 Marshall Rd,3,Casa,13.5,3042.0,2.0,1.0,1.0,620.0,,,-37.7173,144.8872,3464.0,"$720,000.00","$744,777.24",3.44%
Airport West,36 Roberts Rd,4,Casa,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,,-37.7259,144.8792,3464.0,"$785,000.00","$826,363.65",5.27%
Airport West,11 Harrington Rd,6,Casa,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,3464.0,"$725,000.00","$857,667.16",18.30%
Airport West,2/252 Parer Rd,2,Terreno,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,3464.0,"$450,000.00","$494,587.16",9.91%
Airport West,3/19 Hart St,2,Apartamento,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,3464.0,"$515,000.00","$501,977.50",2.53%
Airport West,81a Roberts Rd,3,Casa,13.5,3042.0,,,,,,,,,3464.0,"$680,000.00","$663,085.42",2.49%
Airport West,2/62 Clydesdale Rd,2,Apartamento,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,3464.0,"$530,000.00","$481,849.86",9.08%
Airport West,3 Deidre Ct,3,Casa,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,3464.0,"$895,000.00","$972,340.88",8.64%
Airport West,3/24 Elstone Av,3,Apartamento,13.5,3042.0,,,,,,,,,3464.0,"$600,000.00","$581,442.06",3.09%
Airport West,13 Etzel St,3,Casa,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,-37.7217,144.8783,3464.0,"$805,000.00","$713,863.10",11.32%
Airport West,37a North St,3,Terreno,13.5,3042.0,,,,,,,,,3464.0,"$760,000.00","$604,555.29",20.45%
Airport West,1/43 Cameron St,3,Apartamento,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,3464.0,"$752,000.00","$640,734.99",14.80%
Airport West,1/69 Bowes Av,3,Apartamento,13.5,3042.0,,,,,,,,,3464.0,"$580,000.00","$581,442.06",0.25%
Airport West,2/9 El Reno Cr,3,Casa,13.5,3042.0,,,,,,,,,3464.0,"$725,000.00","$663,085.42",8.54%
Airport West,92 McNamara Av,4,Casa,13.5,3042.0,,,,,,,,,3464.0,"$758,000.00","$855,940.95",12.92%
Airport West,145a Victory Rd,2,Apartamento,13.5,3042.0,2.0,1.0,1.0,192.0,,,-37.7177,144.8787,3464.0,"$440,000.00","$494,971.49",12.49%
Airport West,20 Creswell Av,3,Casa,13.5,3042.0,,,,,,,,,3464.0,"$970,000.00","$725,858.38",25.17%
Airport West,241 Parer Rd,5,Casa,13.5,3042.0,3.0,2.0,2.0,596.0,,,-37.7248,144.8699,3464.0,"$755,000.00","$827,558.16",9.61%
Airport West,71 Bowes Av,4,Casa,13.5,3042.0,,,,,,,,,3464.0,"$985,000.00","$855,940.95",13.10%
Airport West,2/40 Earl St,3,Terreno,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,3464.0,"$700,000.00","$581,212.41",16.97%
Airport West,2/112 Parer Rd,2,Apartamento,13.5,3042.0,,,,,,,,,3464.0,"$509,500.00","$444,908.13",12.68%
Airport West,180 Parer Rd,3,Casa,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,3464.0,"$830,000.00","$893,923.53",7.70%
Airport West,4/54 Hawker St,2,Apartamento,13.5,3042.0,2.0,1.0,1.0,164.0,,2003.0,-37.7218,144.8863,3464.0,"$462,500.00","$501,261.34",8.38%
Airport West,43 Hillside Gr,3,Casa,13.5,3042.0,3.0,2.0,2.0,657.0,,,-37.7269,144.8742,3464.0,"$670,000.00","$709,945.92",5.96%
Airport West,174 Parer Rd,2,Casa,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,3464.0,"$675,000.00","$767,519.53",13.71%
Airport West,138 Victory Rd,3,Casa,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,3464.0,"$1,042,000.00","$814,816.26",21.80%
Airport West,75 King St,3,Casa,13.5,3042.0,3.0,1.0,1.0,775.0,,,-37.7231,144.8835,3464.0,"$910,000.00","$861,356.05",5.35%
Airport West,6 Kittyhawk St,4,Casa,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,3464.0,"$773,000.00","$850,942.82",10.08%
Airport West,7 McNamara Av,3,Casa,13.5,3042.0,,,,,,,,,3464.0,"$715,000.00","$725,858.38",1.52%
Airport West,478 Fullarton Rd,3,Casa,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,3464.0,"$810,000.00","$750,614.76",7.33%
Airport West,144 Marshall Rd,3,Casa,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,3464.0,"$715,000.00","$689,217.54",3.61%
Airport West,106 Parer Rd,3,Casa,13.5,3042.0,3.0,1.0,3.0,614.0,,,-37.7194,144.8827,3464.0,"$790,000.00","$775,941.94",1.78%
Airport West,1/41 Hillside Gr,2,Terreno,13.5,3042.0,,,,,,,,,3464.0,"$460,000.00","$457,804.24",0.48%
Airport West,3/7 South Rd,3,Terreno,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,3464.0,"$540,000.00","$593,992.77",10.00%
Airport West,37 North St,3,Terreno,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,3464.0,"$825,000.00","$700,288.15",15.12%
Airport West,10 Hilbert Rd,3,Casa,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,3464.0,"$685,000.00","$679,633.40",0.78%
Airport West,7/42 York St,3,Apartamento,13.5,3042.0,,,,,,,,,3464.0,"$445,000.00","$638,309.40",43.44%
Airport West,110 Halsey Rd,3,Casa,13.5,3042.0,3.0,1.0,1.0,623.0,,,-37.7184,144.882,3464.0,"$805,000.00","$759,155.50",5.69%
Airport West,2/13 North St,2,Apartamento,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,,-37.7202,144.8797,3464.0,"$510,000.00","$494,135.78",3.11%
Airport West,105a Victory Rd,3,Casa,13.5,3042.0,3.0,2.0,1.0,212.0,,,-37.7181,144.8824,3464.0,"$612,000.00","$599,776.03",2.00%
Airport West,117 Marshall Rd,3,Casa,13.5,3042.0,3.0,1.0,2.0,612.0,,,-37.7169,144.8815,3464.0,"$662,000.00","$764,888.10",15.54%
Airport West,34 Moorna Dr,4,Casa,13.5,3042.0,4.0,3.0,2.0,532.0,,,-37.7263,144.869,3464.0,"$978,000.00","$897,709.88",8.21%
Airport West,33 North St,3,Casa,13.5,3042.0,3.0,1.0,1.0,585.0,,,-37.72,144.878,3464.0,"$720,000.00","$652,593.38",9.36%
Airport West,4/40 McNamara Av,2,Apartamento,13.5,3042.0,,,,,,,,,3464.0,"$474,000.00","$429,967.71",9.29%
Airport West,5/93 McNamara Av,2,Terreno,13.5,3042.0,,,,,,,,,3464.0,"$490,000.00","$472,581.98",3.55%
Airport West,2/137 McNamara Av,3,Casa,13.5,3042.0,,,,,,,,,3464.0,"$405,000.00","$725,858.38",79.22%
Airport West,1/46 Bowes Av,3,Terreno,13.5,3042.0,,,,,,,,,3464.0,"$715,000.00","$661,422.63",7.49%
Airport West,1/34 Elstone Av,3,Apartamento,13.5,3042.0,,,,,,,,,3464.0,"$671,500.00","$638,309.40",4.94%
Airport West,49 Roberts Rd,4,Casa,13.5,3042.0,4.0,1.0,2.0,509.0,,,-37.7261,144.8785,3464.0,"$765,000.00","$814,177.53",6.43%
Airport West,85 Roberts Rd,4,Casa,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,3464.0,"$900,000.00","$852,379.12",5.29%
Airport West,22a Walters Av,3,Apartamento,13.5,3042.0,,,,,,,,,3464.0,"$820,000.00","$638,309.40",22.16%
Airport West,1/145 Parer Rd,3,Apartamento,13.5,3042.0,,,,,,,,,3464.0,"$650,000.00","$581,442.06",10.55%
Airport West,3/35 Walters Av,3,Terreno,13.5,3042.0,,,,,,,,,3464.0,"$552,000.00","$619,970.58",12.31%
Albert Park,105 Kerferd Rd,2,Casa,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,3280.0,"$1,275,000.00","$1,360,134.00",6.68%
Albert Park,85 Richardson St,2,Casa,3.3,3206.0,2.0,1.0,0.0,159.0,,,-37.845,144.9538,3280.0,"$1,455,000.00","$1,562,273.74",7.37%
Albert Park,112 Beaconsfield Pde,3,Casa,3.3,3206.0,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499,3280.0,"$2,850,000.00","$2,388,231.83",16.20%
Albert Park,94 Graham St,3,Casa,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,3280.0,"$1,850,000.00","$1,782,809.78",3.63%
Albert Park,396 Montague St,2,Casa,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,3280.0,"$1,436,000.00","$1,367,603.65",4.76%
Albert Park,75 Graham St,2,Casa,3.3,3206.0,1.0,1.0,0.0,147.0,,1900.0,-37.8444,144.9484,3280.0,"$1,110,000.00","$1,365,103.10",22.98%
Albert Park,54 Brooke St,2,Casa,3.3,3206.0,2.0,1.0,1.0,167.0,,,-37.8405,144.9521,3280.0,"$1,550,000.00","$1,659,703.10",7.08%
Albert Park,104 Richardson St,4,Casa,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,3280.0,"$2,300,000.00","$2,351,238.40",2.23%
Albert Park,4a Mills St,3,Terreno,3.3,3206.0,3.0,2.0,2.0,718.0,,,-37.8443,144.9598,3280.0,"$1,550,000.00","$1,596,742.60",3.02%
Albert Park,1 Moubray St,3,Casa,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,3280.0,"$1,800,000.00","$1,962,804.98",9.04%
Albert Park,114 Victoria Av,3,Casa,3.3,3206.0,,,,,,,,,3280.0,"$2,485,000.00","$1,993,430.65",19.78%
Albert Park,29 Faussett St,2,Casa,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,3280.0,"$2,120,000.00","$1,802,664.00",14.97%
Albert Park,3 Herbert St,3,Casa,3.3,3206.0,3.0,1.0,1.0,253.0,,,-37.8443,144.9579,3280.0,"$1,800,000.00","$1,957,544.73",8.75%
Albert Park,24 Kerferd Pl,3,Casa,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,3280.0,"$1,800,000.00","$1,893,276.63",5.18%
Albert Park,44 Draper St,2,Casa,3.3,3206.0,2.0,1.0,0.0,240.0,,,-37.8379,144.9539,3280.0,"$1,810,000.00","$1,696,701.62",6.26%
Albert Park,2 Dundas Pl,3,Casa,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585,3280.0,"$2,615,000.00","$2,541,142.27",2.82%
Albert Park,23 Finlay St,5,Casa,3.3,3206.0,5.0,2.0,1.0,237.0,,,-37.8436,144.9557,3280.0,"$2,100,000.00","$3,066,678.38",46.03%
Albert Park,31 Richardson St,3,Casa,3.3,3206.0,3.0,1.0,0.0,129.0,,,-37.8422,144.949,3280.0,"$1,300,000.00","$1,626,732.40",25.13%
Albert Park,4a Gatehouse La,3,Casa,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,-37.8451,144.9511,3280.0,"$1,370,000.00","$1,862,792.45",35.97%
Albert Park,60 Brooke St,2,Casa,3.3,3206.0,2.0,1.0,0.0,288.0,,,-37.8407,144.9523,3280.0,"$1,000,000.00","$1,889,096.68",88.91%
Albert Park,70 Barrett St,3,Casa,3.3,3206.0,3.0,2.0,1.0,228.0,,,-37.8445,144.9501,3280.0,"$2,575,000.00","$2,561,465.82",0.53%
Albert Park,65 Graham St,2,Casa,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,3280.0,"$1,322,500.00","$1,445,580.25",9.31%
Albert Park,364 Montague St,2,Casa,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,3280.0,"$1,562,500.00","$1,499,767.60",4.01%
Albert Park,86 Mills St,3,Casa,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,3280.0,"$2,000,000.00","$2,252,876.58",12.64%
Albert Park,129 Kerferd Rd,3,Casa,3.3,3206.0,3.0,1.0,0.0,209.0,,1900.0,-37.8468,144.9546,3280.0,"$1,900,000.00","$1,979,665.35",4.19%
Albert Park,97 Page St,3,Casa,3.3,3206.0,3.0,2.0,0.0,147.0,146.0,1890.0,-37.8473,144.9551,3280.0,"$3,010,000.00","$2,137,183.97",29.00%
Albert Park,55 Withers St,4,Casa,3.3,3206.0,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475,3280.0,"$2,800,000.00","$3,207,049.53",14.54%
Albert Park,10/140 Kerferd Rd,2,Apartamento,3.3,3206.0,2.0,1.0,1.0,0.0,,,-37.846,144.9542,3280.0,"$647,000.00","$845,922.04",30.75%
Albert Park,55 Merton St,3,Casa,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,3280.0,"$2,100,000.00","$1,750,791.08",16.63%
Albert Park,49 Page St,3,Casa,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,3280.0,"$2,000,000.00","$2,025,634.07",1.28%
Albert Park,13/52 Moubray St,1,Apartamento,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,-37.8421,144.9517,3280.0,"$442,500.00","$496,032.66",12.10%
Albert Park,115 Page St,4,Casa,3.3,3206.0,4.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558,3280.0,"$4,735,000.00","$3,906,629.85",17.49%
Albert Park,32 Page St,2,Casa,3.3,3206.0,2.0,1.0,0.0,136.0,,,-37.846,144.9517,3280.0,"$1,340,000.00","$1,379,569.64",2.95%
Albert Park,34 Richardson St,3,Casa,3.3,3206.0,3.0,1.0,1.0,202.0,,,-37.8429,144.9493,3280.0,"$1,801,000.00","$1,978,896.16",9.88%
Albert Park,2b Dundas Pl,3,Casa,3.3,3206.0,3.0,3.0,1.0,0.0,,,-37.8415,144.9585,3280.0,"$1,532,000.00","$1,929,780.92",25.96%
Albert Park,22 Greig St,3,Casa,3.3,3206.0,3.0,2.0,2.0,325.0,,,-37.8413,144.95,3280.0,"$3,755,000.00","$3,086,303.51",17.81%
Albert Park,27 Barrett St,4,Casa,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495,3280.0,"$2,140,000.00","$2,500,879.38",16.86%
Albert Park,3 Faussett St,2,Apartamento,3.3,3206.0,,,,,,,,,3280.0,"$1,810,000.00","$894,696.58",50.57%
Albert Park,44 Greig St,2,Casa,3.3,3206.0,2.0,1.0,1.0,162.0,,,-37.8416,144.9488,3280.0,"$1,750,000.00","$1,657,730.14",5.27%
Albert Park,6 Brooke St,2,Casa,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519,3280.0,"$980,000.00","$1,267,671.01",29.35%
Albert Park,227a Danks St,3,Casa,3.3,3206.0,3.0,2.0,0.0,152.0,,,-37.8488,144.9551,3280.0,"$2,030,000.00","$2,223,897.61",9.55%
Albert Park,17 Reed St,3,Casa,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453,3280.0,"$1,740,000.00","$1,984,502.69",14.05%
Albert Park,74 Bridport St,3,Casa,3.3,3206.0,3.0,3.0,1.0,0.0,,,-37.8399,144.9577,3280.0,"$2,800,000.00","$2,252,665.39",19.55%
Albert Park,9 Durham St,1,Casa,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497,3280.0,"$985,000.00","$1,031,087.70",4.68%
Alphington,6 Smith St,4,Casa,6.4,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318,2211.0,"$2,000,000.00","$2,115,377.45",5.77%
Alphington,5/6 Yarralea St,3,Casa,6.4,3078.0,3.0,2.0,2.0,208.0,,2013.0,-37.7854,145.0325,2211.0,"$1,110,000.00","$1,226,478.33",10.49%
